"Campaign name","Ad set name","Campaign ID",Placement,"Ad name","Ad set ID","Ad ID",Platform,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Purchase ROAS (return on ad spend)","CTR (all)","Result rate","Reporting starts","Reporting ends"
"Advantage+ shopping campaign 04/05/2025 Campaign","Advantage+ shopping campaign 04/05/2025 Ad set",120222571952620727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120222571952610727,120222571952600727,facebook,active,ad,196554,217431,1.10621509,"7-day click, 1-day view or 1-day engaged view","Website purchases",1072,1814.24225855,1.69239017,2025-05-04,Ongoing,1.99522417,4.29699537,0.49302997,2025-07-20,2025-08-18
"Young - What's Your Sticker Campaign","Young - What's Your Sticker Ad Set",120224400280360727,"Instagram Stories","Advantage+ shopping campaign 04/05/2025 Ad",120224400280340727,120224400280350727,instagram,active,ad,165579,182896,1.10458452,"7-day click, 1-day view or 1-day engaged view","Website purchases",902,1623.51726156,1.79990827,2025-06-04,Ongoing,1.94683486,2.86337591,0.49317645,2025-07-20,2025-08-18
"Dating - New Copy - What's Your Sticker Campaign","Dating - New Copy - What's Your Sticker Ad Set",120224401411290727,"Instagram Stories","Advantage+ shopping campaign 04/05/2025 Ad",120224401411270727,120224401411280727,instagram,active,ad,151365,164485,1.0866779,"7-day click, 1-day view or 1-day engaged view","Website purchases",820,1398.91329557,1.70599182,2025-06-04,Ongoing,2.06015627,3.12490501,0.4985257,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy 2 Campaign","Advantage+ shopping campaign 04/05/2025 Campaign – Copy 2 Ad Set",120224364862220727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120224364862200727,120224364862210727,facebook,active,ad,149640,166224,1.11082598,"7-day click, 1-day view or 1-day engaged view","Website purchases",741,1393.77061746,1.88093201,2025-06-04,Ongoing,1.76342504,4.128766,0.445784,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy","Advantage+ shopping campaign 04/05/2025 Ad set",120224364675780727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120224364675770727,120224364675790727,facebook,active,ad,119526,130931,1.09541857,"7-day click, 1-day view or 1-day engaged view","Website purchases",694,1297.86926139,1.87012862,2025-06-04,Ongoing,1.73975921,4.7215709,0.53005018,2025-07-20,2025-08-18
"How would you two look Campaign","How would you two look Ad Set",120224397505120727,"Instagram Stories","How would you two look",120224397505130727,120224397505170727,instagram,active,ad,135686,152114,1.12107366,"7-day click, 1-day view or 1-day engaged view","Website purchases",757,1297.12816885,1.71351145,2025-06-04,Ongoing,2.21383674,2.98591846,0.49765308,2025-07-20,2025-08-18
"Married - What's Your Sticker Campaign – Copy","Married - What's Your Sticker Ad Set",120225320993160727,"Instagram Stories","Advantage+ shopping campaign 04/05/2025 Ad",120225320993150727,120225320993170727,instagram,active,ad,140486,148509,1.05710889,"7-day click, 1-day view or 1-day engaged view","Website purchases",733,1291.43115494,1.76184332,2025-06-15,Ongoing,1.92077602,2.94527604,0.49357278,2025-07-20,2025-08-18
"What's Your Couple Sticker - Diff Images Campaign","What's Your Couple Sticker - Diff Images Ad Set",120224398893970727,"Instagram Stories","3 Diff Images - Same Winner",120224398893950727,120224398893960727,instagram,active,ad,134284,140608,1.04709422,"7-day click, 1-day view or 1-day engaged view","Website purchases",687,1273.24951616,1.85334719,2025-06-04,Ongoing,1.88969245,2.95217911,0.4885924,2025-07-20,2025-08-18
"4/27 - Purchase Optimized Advantage+ shopping campaign 27/04/2025 Campaign","4/27 - Purchase Optimized Advantage+ shopping campaign 27/04/2025 Ad Set",120221392651830727,Feed,"Advantage+ shopping campaign 27/04/2025 Ad – Copy 2",120221392651850727,120221396812650727,facebook,active,ad,70529,99325,1.40828595,"7-day click, 1-day view or 1-day engaged view","Website purchases",587,1253.16724095,2.13486753,2025-04-27,Ongoing,1.49829962,4.02013592,0.59098918,2025-07-20,2025-08-18
"Lookalike Purchasers 1%","Lookalike Purchasers 1%",120226861223690727,"Instagram Stories","Advantage+ shopping campaign 04/05/2025 Ad - Copy",120226861223700727,120226861386740727,instagram,active,ad,85350,99769,1.16893966,"7-day click or 1-day view","Website purchases",657,1178.23905133,1.79336233,2025-07-09,Ongoing,1.95378009,3.49106436,0.65852118,2025-07-20,2025-08-18
"Married - What's Your Sticker Campaign","Married - What's Your Sticker Ad Set",120224399840310727,"Instagram Stories","Advantage+ shopping campaign 04/05/2025 Ad",120224399840290727,120224399840300727,instagram,active,ad,118531,127430,1.07507741,"7-day click, 1-day view or 1-day engaged view","Website purchases",604,1158.82995063,1.91859263,2025-06-04,Ongoing,1.68311149,3.15388841,0.47398572,2025-07-20,2025-08-18
"Copy - Dating - What's Your Sticker","Dating - New Copy - What's Your Sticker Ad Set – Copy",120225035813180727,"Instagram Stories","Advantage+ shopping campaign 04/05/2025 Ad",120225035813830727,120225035813820727,instagram,active,ad,115723,125207,1.08195432,"7-day click or 1-day view","Website purchases",630,1028.77860424,1.63298191,2025-06-12,Ongoing,2.10579807,3.12762066,0.50316676,2025-07-20,2025-08-18
"Advantage+ shopping campaign 04/05/2025 Campaign – Copy","Advantage+ shopping campaign 04/05/2025 Ad set",120227748536090727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120227748536100727,120227748536110727,facebook,active,ad,85734,93798,1.09405837,"7-day click, 1-day view or 1-day engaged view","Website purchases",577,1002.3952018,1.73725338,2025-07-23,Ongoing,1.98895605,5.06407386,0.61515171,2025-07-20,2025-08-18
"What's Your Couple Sticker - Diff Images Campaign","What's Your Couple Sticker - Diff Images Ad Set",120224398893970727,Feed,"3 Diff Images - Same Winner",120224398893950727,120224398893960727,facebook,active,ad,132620,143407,1.08133766,"7-day click, 1-day view or 1-day engaged view","Website purchases",571,996.98792377,1.7460384,2025-06-04,Ongoing,1.95853927,3.66439574,0.39816745,2025-07-20,2025-08-18
"Purchase Campaign - Copy of First Campaign Campaign","Purchase Campaign - Copy of First Campaign Ad Set",120221390516270727,Feed,"Now its our thing",120221390516240727,120221390516280727,facebook,active,ad,32538,45640,1.40266765,"7-day click, 1-day view or 1-day engaged view","Website purchases",376,876.24413993,2.33043654,2025-04-27,Ongoing,1.56165381,4.55959684,0.82383874,2025-07-20,2025-08-18
"Married - What's Your Sticker Campaign","Married - What's Your Sticker Ad Set",120224399840310727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120224399840290727,120224399840300727,facebook,active,ad,115267,123915,1.07502581,"7-day click, 1-day view or 1-day engaged view","Website purchases",515,862.84230066,1.67542194,2025-06-04,Ongoing,2.00500138,3.75580035,0.41560747,2025-07-20,2025-08-18
"May 4th - New Sales campaign - Advantage+ shopping campaign – Copy","New Sales ad set",120222833218160727,Feed,"She's Obsessed",120222833218170727,120222833218200727,facebook,active,ad,52642,73079,1.38822613,"7-day click, 1-day view or 1-day engaged view","Website purchases",421,838.32783169,1.99127751,2025-05-08,Ongoing,1.67805475,3.55368847,0.57608889,2025-07-20,2025-08-18
"Dating - New Copy - What's Your Sticker Campaign","Dating - New Copy - What's Your Sticker Ad Set",120224401411290727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120224401411270727,120224401411280727,facebook,active,ad,112132,119910,1.06936468,"7-day click, 1-day view or 1-day engaged view","Website purchases",447,772.75839244,1.72876598,2025-06-04,Ongoing,1.90069757,3.49178551,0.37277958,2025-07-20,2025-08-18
"How would you two look Campaign","How would you two look Ad Set",120224397505120727,Feed,"How would you two look",120224397505130727,120224397505170727,facebook,active,ad,98372,104118,1.05841093,"7-day click, 1-day view or 1-day engaged view","Website purchases",425,666.28042523,1.56771865,2025-06-04,Ongoing,2.41842614,3.54597668,0.40819071,2025-07-20,2025-08-18
"Married New Copy - What's Your Sticker Campaign","Married New Copy - What's Your Sticker Ad Set",120224401093610727,"Instagram Stories","Advantage+ shopping campaign 04/05/2025 Ad",120224401093590727,120224401093600727,instagram,active,ad,72551,75389,1.03911731,"7-day click, 1-day view or 1-day engaged view","Website purchases",367,647.95545823,1.76554621,2025-06-04,Ongoing,1.9367072,3.03094616,0.48680842,2025-07-20,2025-08-18
"Before/After 2","Before/After 2 Kids",120226766032730727,"Instagram Stories","Before/After Kids 1",120226766032860727,120226766032750727,instagram,active,ad,65860,84003,1.27547829,"7-day click","Website purchases",268,572.9154555,2.13774424,2025-07-08,Ongoing,1.52432613,2.44753164,0.31903622,2025-07-20,2025-08-18
"Young - What's Your Sticker Campaign","Young - What's Your Sticker Ad Set",120224400280360727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120224400280340727,120224400280350727,facebook,active,ad,80508,80508,1,"7-day click, 1-day view or 1-day engaged view","Website purchases",300,535.45537614,1.78485125,2025-06-04,Ongoing,2.05083383,3.33134595,0.37263378,2025-07-20,2025-08-18
"Married - What's Your Sticker Campaign – Copy","Married - What's Your Sticker Ad Set",120225320993160727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120225320993150727,120225320993170727,facebook,active,ad,74051,81962,1.10683178,"7-day click, 1-day view or 1-day engaged view","Website purchases",283,532.44521362,1.88143185,2025-06-15,Ongoing,1.7437287,3.16488129,0.34528196,2025-07-20,2025-08-18
"Copy - Dating - What's Your Sticker","Dating - New Copy - What's Your Sticker Ad Set – Copy",120225035813180727,Feed,"Advantage+ shopping campaign 04/05/2025 Ad",120225035813830727,120225035813820727,facebook,active,ad,72135,75813,1.05098773,"7-day click or 1-day view","Website purchases",297,449.27306099,1.51270391,2025-06-12,Ongoing,2.16202591,3.6299843,0.39175339,2025-07-20,2025-08-18
